"file_name","category","source_staged_path","promoted_path","expected_sha256","copied_sha256","sha_match"
"W01_YOLLA_SCAN_REPLAY_EVIDENCE_LAB_V1_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03_PROMPTS\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03\W01_YOLLA_SCAN_REPLAY_EVIDENCE_LAB_V1_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\08eb7d5f6584_W01_YOLLA_SCAN_REPLAY_EVIDENCE_LAB_V1_PROMPT.txt","08eb7d5f6584373f377eb99a75b3579d2fd7835d4ba804c13b2fe81fdf8c90f7","08eb7d5f6584373f377eb99a75b3579d2fd7835d4ba804c13b2fe81fdf8c90f7","True"
"W12_YOLLA_DATA_COMMANDER_ORCHESTRATOR_V1_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\YOLLA_W11_W12_W13_PARALLEL_WORKER_PACKAGE\YOLLA_W11_W12_W13_PARALLEL_WORKER_PACKAGE\W12_YOLLA_DATA_COMMANDER_ORCHESTRATOR_V1_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\2618718b5c6d_W12_YOLLA_DATA_COMMANDER_ORCHESTRATOR_V1_PROMPT.txt","2618718b5c6de454e6b34de015704c011c6a8fc7eaa01296ba130f7a8a69e483","2618718b5c6de454e6b34de015704c011c6a8fc7eaa01296ba130f7a8a69e483","True"
"W04_YOLLA_SITE_SCANNER_SEMANTIC_ADAPTER_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\YOLLA_SITE_SCANNER_V1_WORKER_PACKAGE\W04_YOLLA_SITE_SCANNER_SEMANTIC_ADAPTER_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\50a8820e5307_W04_YOLLA_SITE_SCANNER_SEMANTIC_ADAPTER_PROMPT.txt","50a8820e5307e8ef31a89cb66a23f8119f816d46d72cde2b5665b33c6b117563","50a8820e5307e8ef31a89cb66a23f8119f816d46d72cde2b5665b33c6b117563","True"
"WKR004_INSTALL_RESTART_ROLLBACK_EXECUTOR_PASS.json","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\s1\ship-now\wkr-004-install-restart\events\WKR004_INSTALL_RESTART_ROLLBACK_EXECUTOR_PASS.json",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\b855f43a873c_WKR004_INSTALL_RESTART_ROLLBACK_EXECUTOR_PASS.json","b855f43a873c71fe7b61a0311ad4b19a0a56f0bae5f99c5e35c8baf32c560325","b855f43a873c71fe7b61a0311ad4b19a0a56f0bae5f99c5e35c8baf32c560325","True"
"windows-service-bundle-receipt-v3.schema.json","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\s1\ship-now\wkr-004-install-restart\wave3_windows_service_bundle_v3\schemas\windows-service-bundle-receipt-v3.schema.json",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\6125cc47d142_windows-service-bundle-receipt-v3.schema.json","6125cc47d142dbdaa1889f1290ea7f1000570a986aded88fb76162edede3aac6","6125cc47d142dbdaa1889f1290ea7f1000570a986aded88fb76162edede3aac6","True"
"W03_YOLLA_UI_ROUTE_COVERAGE_EXPLORATION_PLANNER_V1_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03_PROMPTS\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03\W03_YOLLA_UI_ROUTE_COVERAGE_EXPLORATION_PLANNER_V1_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\597f9337d83f_W03_YOLLA_UI_ROUTE_COVERAGE_EXPLORATION_PLANNER_V1_PROMPT.txt","597f9337d83fde438c8a842129a5072db49c22a8725233c7e66b03cb2a77f19f","597f9337d83fde438c8a842129a5072db49c22a8725233c7e66b03cb2a77f19f","True"
"W02_YOLLA_NETWORK_CONTRACT_DRIFT_ANALYZER_V1_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03_PROMPTS\YOLLA_SITE_SCANNER_WAVE2_W01_W02_W03\W02_YOLLA_NETWORK_CONTRACT_DRIFT_ANALYZER_V1_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\d717595174a8_W02_YOLLA_NETWORK_CONTRACT_DRIFT_ANALYZER_V1_PROMPT.txt","d717595174a878796f6bb4226b869fe8699a7a7f814297a46865401f4b94ee9f","d717595174a878796f6bb4226b869fe8699a7a7f814297a46865401f4b94ee9f","True"
"W04_VERIFIER_FIX_AND_FINAL_INTEGRATION_THIRD_PASS_PROMPT.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\W04_VERIFIER_FIX_AND_FINAL_INTEGRATION_THIRD_PASS_PROMPT.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\84370ab0eb36_W04_VERIFIER_FIX_AND_FINAL_INTEGRATION_THIRD_PASS_PROMPT.txt","84370ab0eb3675638a447d22ec9de663340710458a96285ff9ff6103cf173e32","84370ab0eb3675638a447d22ec9de663340710458a96285ff9ff6103cf173e32","True"
"W04_DELIVERY_MESSAGE.txt","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\worktrees\a4-windows-build-v4\out\W04_DELIVERY_MESSAGE.txt",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\f1a3db8f685d_W04_DELIVERY_MESSAGE.txt","f1a3db8f685d03bad903938cd3e16cb3201ff265c73fca4f21d56ddee707c389","f1a3db8f685d03bad903938cd3e16cb3201ff265c73fca4f21d56ddee707c389","True"
"FILE_HASHES.json","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260701_01_STAGE1_BROWSER\_ASSEMBLY_REPORTS\FILE_HASHES.json",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\45127f97bd3a_FILE_HASHES.json","45127f97bd3a018613db6e18aa4e6d8192159c4b1251c4f7f023534c0fb4e157","45127f97bd3a018613db6e18aa4e6d8192159c4b1251c4f7f023534c0fb4e157","True"
